time,strain,temperature,stress,type,title,youngs,poissons
620172.0,0.010124,,,,,,
624564.0,0.010179,,,,,,
626544.0,0.01021,,,,,,
629496.0,0.010245,,,,,,
632412.0,0.01028,,,,,,
635544.0,0.010313,,,,,,
637416.0,0.01034,,,,,,
642204.0,0.010403,,,,,,
644004.0,0.010425,,,,,,
647028.0,0.010461,,,,,,
651348.0,0.010514,,,,,,
653148.0,0.010536,,,,,,
655848.0,0.010571,,,,,,
659160.0,0.0106,,,,,,
661356.0,0.010646,,,,,,
663588.0,0.010668,,,,,,
665712.0,0.010695,,,,,,
668448.0,0.010714,,,,,,
670572.0,0.010752,,,,,,
675864.0,0.010812,,,,,,
679392.0,0.010852,,,,,,
681372.0,0.010878,,,,,,
683460.0,0.010909,,,,,,
687204.0,0.010959,,,,,,
689076.0,0.010973,,,,,,
693576.0,0.011029,,,,,,
696456.0,0.011064,,,,,,
700344.0,0.011105,,,,,,
703476.0,0.01115,,,,,,
707508.0,0.011189,,,,,,
711468.0,0.011252,,,,,,
714096.0,0.011285,,,,,,
718380.0,0.011335,,,,,,
721872.0,0.011383,,,,,,
723672.0,0.011396,,,,,,
726732.0,0.011433,,,,,,
729000.0,0.011472,,,,,,
731484.0,0.01148,,,,,,
734400.0,0.011532,,,,,,
736524.0,0.011559,,,,,,
739980.0,0.011596,,,,,,
745452.0,0.011654,,,,,,
749556.0,0.011693,,,,,,
753444.0,0.011751,,,,,,
755244.0,0.01177,,,,,,
758844.0,0.011823,,,,,,
762444.0,0.01186,,,,,,
764964.0,0.011895,,,,,,
767628.0,0.011921,,,,,,
773496.0,0.01198,,,,,,
775368.0,0.012011,,,,,,
781992.0,0.012089,,,,,,
785448.0,0.01212,,,,,,
789264.0,0.012168,,,,,,
792504.0,0.0122,,,,,,
797040.0,0.012252,,,,,,
799704.0,0.012309,,,,,,
802944.0,0.012327,,,,,,
805572.0,0.012359,,,,,,
807516.0,0.012388,,,,,,
809892.0,0.012408,,,,,,
814248.0,0.012453,,,,,,
816984.0,0.012486,,,,,,
819828.0,0.012517,,,,,,
823428.0,0.012552,,,,,,
827136.0,0.012602,,,,,,
832860.0,0.012675,,,,,,
835020.0,0.012704,,,,,,
838908.0,0.012753,,,,,,
840852.0,0.012778,,,,,,
845712.0,0.012838,,,,,,
848952.0,0.01288,,,,,,
853740.0,0.012923,,,,,,
857556.0,0.012965,,,,,,
861084.0,0.013005,,,,,,
864864.0,0.013046,,,,,,
867384.0,0.013074,,,,,,
872208.0,0.013133,,,,,,
875124.0,0.013171,,,,,,
879948.0,0.013229,,,,,,
882108.0,0.013242,,,,,,
884376.0,0.013268,,,,,,
888120.0,0.013312,,,,,,
890208.0,0.013325,,,,,,
892080.0,0.013359,,,,,,
895248.0,0.013403,,,,,,
898308.0,0.013437,,,,,,
900252.0,0.013464,,,,,,
903924.0,0.013493,,,,,,
906660.0,0.013524,,,,,,
910260.0,0.013562,,,,,,
913284.0,0.013599,,,,,,
917064.0,0.013641,,,,,,
919692.0,0.013667,,,,,,
923472.0,0.013702,,,,,,
926208.0,0.013743,,,,,,
931248.0,0.013796,,,,,,
933984.0,0.013827,,,,,,
937296.0,0.013868,,,,,,
940860.0,0.01391,,,,,,
944388.0,0.01394,,,,,,
948060.0,0.013986,,,,,,
950148.0,0.014004,,,,,,
953532.0,0.01404,,,,,,
955548.0,0.014048,,,,,,
962064.0,0.014125,,,,,,
966132.0,0.014177,,,,,,
969192.0,0.014208,,,,,,
972144.0,0.014222,,,,,,
975924.0,0.014268,,,,,,
977796.0,0.014305,,,,,,
981684.0,0.014338,,,,,,
985248.0,0.014368,,,,,,
990108.0,0.014433,,,,,,
992916.0,0.014465,,,,,,
995256.0,0.014485,,,,,,
999900.0,0.014534,,,,,,
1002348.0,0.01456,,,,,,
1004400.0,0.014582,,,,,,
1006488.0,0.014603,,,,,,
1008720.0,0.014629,,,,,,
1011240.0,0.014648,,,,,,
1014228.0,0.014691,,,,,,
1016208.0,0.014696,,,,,,
1018620.0,0.014745,,,,,,
1023624.0,0.014789,,,,,,
1026324.0,0.014811,,,,,,
1028844.0,0.014842,,,,,,
1032372.0,0.014888,,,,,,
1034172.0,0.014903,,,,,,
1040148.0,0.014957,,,,,,
1043028.0,0.015003,,,,,,
1045908.0,0.015033,,,,,,
1048428.0,0.015058,,,,,,
1050516.0,0.015077,,,,,,
1052496.0,0.015098,,,,,,
1054440.0,0.015124,,,,,,
1056636.0,0.015139,,,,,,
1060488.0,0.015181,,,,,,
1063872.0,0.01522,,,,,,
1067508.0,0.015259,,,,,,
1070892.0,0.015288,,,,,,
1073808.0,0.01532,,,,,,
1078524.0,0.015377,,,,,,
1081224.0,0.015403,,,,,,
1085832.0,0.01546,,,,,,
1090584.0,0.015507,,,,,,
1092564.0,0.015523,,,,,,
1095444.0,0.015554,,,,,,
1097568.0,0.015578,,,,,,
1102068.0,0.015611,,,,,,
1107036.0,0.015669,,,,,,
1109016.0,0.015694,,,,,,
1112580.0,0.015737,,,,,,
