time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
44.977,0.0,4.779411765,25.0,tensile,inl_2,Air,0.0001,246110.0,0.3
58.902,0.0,67.33754118,,,,,,,
73.007,0.0,129.7059176,,,,,,,
86.947,0.000226611,180.4494496,,,,,,,
100.908,0.00088429,216.1684688,,,,,,,
114.777,0.001850746,238.6737132,,,,,,,
128.763,0.00288872,255.3008441,,,,,,,
142.71,0.00403636,268.644725,,,,,,,
156.665,0.005278656,279.4362882,,,,,,,
170.569,0.006488443,287.2552397,,,,,,,
184.579,0.007704066,294.7216563,,,,,,,
198.674,0.008999252,300.3549706,,,,,,,
212.71,0.010285484,306.3764191,,,,,,,
226.696,0.011591871,311.2909647,,,,,,,
240.649,0.013000901,315.4967809,,,,,,,
255.019,0.014415196,319.3383757,,,,,,,
269.02,0.015820257,323.5656993,,,,,,,
283.066,0.017199815,326.6603118,,,,,,,
297.035,0.01865334,330.545814,,,,,,,
311.159,0.020074085,333.67165,,,,,,,
324.332,0.021373115,336.0044136,,,,,,,
338.305,0.02273164,339.8863971,,,,,,,
352.271,0.024109858,342.6409265,,,,,,,
366.05,0.025410828,344.6120382,,,,,,,
380.068,0.026778201,347.7581967,,,,,,,
394.038,0.028120433,349.7545066,,,,,,,
407.931,0.029490278,352.5324632,,,,,,,
421.764,0.03090285,355.3325794,,,,,,,
435.723,0.03223956,357.3435938,,,,,,,
449.807,0.033611856,359.7573529,,,,,,,
463.762,0.034989372,361.7932059,,,,,,,
477.667,0.036320634,363.8173059,,,,,,,
491.773,0.037686381,366.2456081,,,,,,,
505.737,0.039014061,368.2785805,,,,,,,
519.669,0.040332917,370.7010412,,,,,,,
533.639,0.041657089,372.7428199,,,,,,,
547.611,0.042980469,374.7890993,,,,,,,
561.628,0.044294107,377.2260662,,,,,,,
575.53,0.045656041,379.2969934,,,,,,,
589.497,0.046937269,380.9517368,,,,,,,
603.454,0.048238716,383.7911426,,,,,,,
617.432,0.049523639,385.0645037,,,,,,,
631.404,0.050835706,387.1352265,,,,,,,
645.329,0.052102389,389.1932154,,,,,,,
659.318,0.053418049,390.8816676,,,,,,,
673.355,0.054811169,392.9978603,,,,,,,
687.276,0.056202351,395.1184647,,,,,,,
701.283,0.057598542,396.8513353,,,,,,,
715.171,0.059022286,399.3901081,,,,,,,
729.235,0.060335803,400.703393,,,,,,,
743.22,0.061719325,402.8404754,,,,,,,
757.333,0.063100936,404.9819695,,,,,,,
771.579,0.064444407,406.7155699,,,,,,,
785.704,0.065822261,408.8652684,,,,,,,
799.786,0.067120941,410.5890938,,,,,,,
813.804,0.068417002,412.3156471,,,,,,,
827.757,0.069711386,414.0453085,,,,,,,
841.728,0.071039162,416.192893,,,,,,,
855.734,0.072336999,417.5313103,,,,,,,
869.698,0.073739928,420.120525,,,,,,,
883.71,0.075034267,421.4647412,,,,,,,
897.64,0.076361812,423.228182,,,,,,,
911.654,0.077681718,425.3954044,,,,,,,
925.652,0.078970968,426.7474577,,,,,,,
939.615,0.080287437,428.9221015,,,,,,,
953.548,0.081566556,430.6811235,,,,,,,
967.506,0.082844042,432.4432537,,,,,,,
981.507,0.084154506,434.6291338,,,,,,,
995.467,0.085435443,435.9947224,,,,,,,
1009.4,0.086708916,437.766625,,,,,,,
1023.383,0.088014328,439.9636,,,,,,,
1037.356,0.089283609,441.741889,,,,,,,
1051.313,0.090516892,443.099789,,,,,,,
1065.221,0.091741035,444.8651912,,,,,,,
1079.221,0.093006508,446.6525901,,,,,,,
1093.214,0.094269472,448.4426941,,,,,,,
1107.211,0.095571742,450.2541875,,,,,,,
1121.251,0.09691407,452.0876265,,,,,,,
1135.176,0.098254598,453.9243743,,,,,,,
1149.166,0.099559254,455.336893,,,,,,,
1164.203,0.100978507,457.2169941,,,,,,,
1178.919,0.102395749,459.1006048,,,,,,,
1193.572,0.103769519,460.96875,,,,,,,
1208.444,0.105141405,462.8403033,,,,,,,
1223.679,0.106587503,465.1654331,,,,,,,
1237.847,0.107880441,466.59405,,,,,,,
1252.347,0.109166014,468.4383066,,,,,,,
1266.968,0.110442456,470.6989743,,,,,,,
1281.743,0.111771559,472.1548897,,,,,,,
1298.014,0.113302496,473.7087375,,,,,,,
1312.139,0.114621249,475.5845901,,,,,,,
1326.106,0.115903849,477.0284445,,,,,,,
1340.162,0.117131699,479.2882485,,,,,,,
1354.129,0.118438883,481.5908382,,,,,,,
1368.217,0.119643275,482.5875,,,,,,,
1382.141,0.120913824,484.4598695,,,,,,,
1396.158,0.122148558,485.8972809,,,,,,,
1410.175,0.12338827,486.9177301,,,,,,,
1424.176,0.124646698,489.2171625,,,,,,,
