time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
7.44,0,0.015107,25,tensile,inl_2,Air,0.01,210083.0,0.3
7.63,9.78E-05,57.47306696,,,,,,,
7.819,0.000438,136.0122974,,,,,,,
8.007,0.000902,208.301189,,,,,,,
8.205,0.00153,279.3255344,,,,,,,
8.398,0.00226,340.3565324,,,,,,,
8.591,0.00313,394.081626,,,,,,,
8.779,0.00409,440.3078498,,,,,,,
8.97,0.00524,477.1020438,,,,,,,
9.157,0.00661,503.9342342,,,,,,,
9.345,0.00816,523.4625605,,,,,,,
9.596,0.0103,541.2965543,,,,,,,
9.784,0.0119,551.0899538,,,,,,,
9.971,0.013581492,559.7327739,,,,,,,
10.159,0.015306911,566.9139783,,,,,,,
10.346,0.01695788,573.0164279,,,,,,,
10.534,0.018578021,578.2745392,,,,,,,
10.722,0.020328584,583.5816994,,,,,,,
10.91,0.022171405,588.6586215,,,,,,,
11.106,0.024099844,593.7378377,,,,,,,
11.294,0.025860408,598.0406045,,,,,,,
11.481,0.027708045,602.2588199,,,,,,,
11.731,0.030154216,607.7870864,,,,,,,
11.928,0.032040875,611.9234116,,,,,,,
12.115,0.033842812,615.6282182,,,,,,,
12.314,0.035597588,619.3442841,,,,,,,
12.502,0.037392664,623.0949885,,,,,,,
12.7,0.0393126,627.148184,,,,,,,
12.887,0.04114546,630.8731285,,,,,,,
13.075,0.042982864,634.2035542,,,,,,,
13.262,0.044643519,637.3370864,,,,,,,
13.45,0.046430005,640.746772,,,,,,,
13.637,0.048213976,644.0682625,,,,,,,
13.887,0.050545603,648.4200331,,,,,,,
14.075,0.05227594,651.8893032,,,,,,,
14.262,0.053922163,655.0642511,,,,,,,
14.451,0.055652912,658.2331728,,,,,,,
14.639,0.057424304,661.3682406,,,,,,,
14.836,0.059193848,664.4329976,,,,,,,
15.023,0.060787742,667.4682603,,,,,,,
15.211,0.062506534,670.6724693,,,,,,,
15.398,0.064266662,673.7849047,,,,,,,
15.586,0.066064626,677.0054181,,,,,,,
15.774,0.06782202,679.9164288,,,,,,,
16.023,0.07019913,684.0736896,,,,,,,
16.149,0.071325112,685.966419,,,,,,,
16.342,0.073238018,689.286108,,,,,,,
16.53,0.074979607,692.4248395,,,,,,,
16.718,0.076679344,695.3051629,,,,,,,
16.905,0.078378168,698.1264181,,,,,,,
17.101,0.080114675,701.0431101,,,,,,,
17.298,0.081970184,704.260585,,,,,,,
17.488,0.083740864,707.3402476,,,,,,,
17.66,0.085302046,710.090897,,,,,,,
17.848,0.087026207,713.0556069,,,,,,,
18.099,0.089322893,716.9024799,,,,,,,
18.288,0.090998986,719.7969012,,,,,,,
18.477,0.092717145,722.5967929,,,,,,,
18.664,0.094349183,725.3070874,,,,,,,
18.852,0.096015263,728.3229502,,,,,,,
19.04,0.097678865,731.3854431,,,,,,,
19.227,0.099342498,734.2716355,,,,,,,
19.415,0.100964409,736.9612302,,,,,,,
19.604,0.102460719,739.5808849,,,,,,,
19.792,0.104159327,742.3573328,,,,,,,
19.979,0.105892124,745.3943638,,,,,,,
20.229,0.108189767,749.1265329,,,,,,,
20.417,0.109915657,752.233794,,,,,,,
20.605,0.111639978,755.1927609,,,,,,,
20.793,0.11328545,757.7966513,,,,,,,
20.981,0.114966276,760.5736534,,,,,,,
21.177,0.116724863,763.4437227,,,,,,,
21.365,0.118277903,766.2207092,,,,,,,
21.554,0.119908308,769.0674594,,,,,,,
21.741,0.121575054,772.069293,,,,,,,
21.929,0.123281986,774.9509528,,,,,,,
22.119,0.12498891,777.6384749,,,,,,,
22.38,0.127241487,781.5025701,,,,,,,
22.568,0.128860432,784.2256635,,,,,,,
22.756,0.130478828,786.8097459,,,,,,,
22.943,0.132050364,789.6410971,,,,,,,
23.131,0.133698041,792.610318,,,,,,,
23.318,0.135306048,795.3895663,,,,,,,
23.507,0.136910769,798.161177,,,,,,,
23.694,0.138438181,800.6196212,,,,,,,
23.882,0.140000396,803.2538154,,,,,,,
24.069,0.141556259,806.1705267,,,,,,,
24.32,0.14369891,809.685321,,,,,,,
24.507,0.145328192,812.6436456,,,,,,,
24.701,0.147032773,815.7145192,,,,,,,
24.888,0.148697993,818.5923397,,,,,,,
25.086,0.150477877,821.5396105,,,,,,,
25.274,0.152065713,823.8924957,,,,,,,
25.466,0.153799725,826.8498417,,,,,,,
25.655,0.155415541,829.6277285,,,,,,,
25.843,0.156911463,832.3909985,,,,,,,
26.03,0.158482011,835.2187656,,,,,,,
26.233,0.160206992,838.1087817,,,,,,,
26.483,0.162346737,841.8436884,,,,,,,
26.681,0.164065758,844.6939937,,,,,,,
26.868,0.165628449,847.2942452,,,,,,,
27.085,0.167455025,850.3892131,,,,,,,
27.283,0.169013904,852.9518488,,,,,,,
27.471,0.170567139,855.7606311,,,,,,,
27.669,0.172231569,858.7380341,,,,,,,
27.857,0.173777951,861.6334412,,,,,,,
28.044,0.175249666,864.2219881,,,,,,,
28.232,0.176797016,866.7623089,,,,,,,
28.419,0.178341377,869.2873652,,,,,,,
28.669,0.180331196,872.836409,,,,,,,
28.857,0.181869252,875.5015603,,,,,,,
29.055,0.183477951,878.3834832,,,,,,,
29.242,0.18504691,881.2839939,,,,,,,
29.43,0.186690855,884.0392917,,,,,,,
29.617,0.188255783,886.8059035,,,,,,,
29.805,0.189858122,889.4032665,,,,,,,
29.993,0.191346552,891.8297069,,,,,,,
30.18,0.192865942,894.6676372,,,,,,,
30.378,0.194494262,897.6674131,,,,,,,
30.565,0.196048005,900.3784339,,,,,,,
30.815,0.198075618,904.213647,,,,,,,
31.003,0.19962336,906.9705191,,,,,,,
31.2,0.201282738,909.672298,,,,,,,
31.387,0.202828616,912.1893787,,,,,,,
31.576,0.204370132,914.8691203,,,,,,,
31.763,0.205797889,917.5080034,,,,,,,
31.951,0.207295772,920.2975928,,,,,,,
32.151,0.208902935,923.1650714,,,,,,,
32.348,0.210471319,925.9825962,,,,,,,
32.536,0.21196432,928.6135559,,,,,,,
32.723,0.213383333,931.1039711,,,,,,,
32.973,0.215308063,934.499945,,,,,,,
33.161,0.216792858,937.2933142,,,,,,,
33.348,0.218312299,940.0688057,,,,,,,
33.536,0.219865753,942.8655628,,,,,,,
33.734,0.22145249,945.7984573,,,,,,,
33.922,0.223003461,948.4719725,,,,,,,
34.109,0.224588425,951.1456304,,,,,,,
34.297,0.226133776,953.8911914,,,,,,,
34.49,0.227676976,956.5530123,,,,,,,
34.678,0.229143241,959.4037886,,,,,,,
34.865,0.230608164,962.122343,,,,,,,
35.115,0.232572791,965.5905223,,,,,,,
35.303,0.233962401,968.1708517,,,,,,,
35.49,0.235493489,970.9284426,,,,,,,
35.678,0.237024774,973.4029922,,,,,,,
