time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
17.6368,273.44398,,,,,,,,
17.7368,273.59987,,,,,,,,
17.8368,273.52194,,,,,,,,
17.9368,273.83374,,,,,,,,
18.0368,273.75578,,,,,,,,
18.1368,273.67785,,,,,,,,
18.2368,274.37941,,,,,,,,
18.3368,274.37941,,,,,,,,
18.4368,274.37941,,,,,,,,
18.5368,274.53532,,,,,,,,
18.6368,274.53532,,,,,,,,
18.7368,274.8471,,,,,,,,
18.8368,274.92504,,,,,,,,
18.9368,275.54866,,,,,,,,
19.0368,275.1589,,,,,,,,
19.1368,275.86049,,,,,,,,
19.2368,275.31482,,,,,,,,
19.3368,275.93844,,,,,,,,
19.4368,275.78251,,,,,,,,
19.5368,275.86049,,,,,,,,
19.6368,276.0164,,,,,,,,
19.7368,276.25025,,,,,,,,
19.8368,276.17229,,,,,,,,
19.9368,276.3282,,,,,,,,
20.0368,276.48409,,,,,,,,
20.1368,276.63998,,,,,,,,
20.2368,276.79592,,,,,,,,
20.3368,276.87387,,,,,,,,
20.4368,277.02976,,,,,,,,
20.5368,276.56205,,,,,,,,
20.6368,277.02976,,,,,,,,
20.7368,277.18567,,,,,,,,
20.8368,277.41952,,,,,,,,
20.9368,277.34156,,,,,,,,
21.0368,277.41952,,,,,,,,
21.1368,277.34156,,,,,,,,
21.2368,278.04313,,,,,,,,
21.3368,277.96519,,,,,,,,
21.4368,278.35493,,,,,,,,
21.5368,278.51084,,,,,,,,
21.6368,278.19904,,,,,,,,
21.7368,278.19904,,,,,,,,
21.8368,278.66675,,,,,,,,
21.9368,278.97855,,,,,,,,
22.0368,279.05651,,,,,,,,
22.1368,279.2124,,,,,,,,
22.2368,279.05651,,,,,,,,
22.3368,279.29038,,,,,,,,
22.4368,279.52423,,,,,,,,
22.5368,279.52423,,,,,,,,
22.6368,279.99192,,,,,,,,
22.7368,279.60216,,,,,,,,
22.8368,279.60216,,,,,,,,
22.9368,279.83601,,,,,,,,
23.0368,279.83601,,,,,,,,
23.1368,279.75807,,,,,,,,
23.2368,280.14785,,,,,,,,
23.3368,279.99192,,,,,,,,
23.4368,280.30374,,,,,,,,
23.5368,280.14785,,,,,,,,
23.6368,280.3817,,,,,,,,
23.7368,280.69348,,,,,,,,
23.8368,280.45963,,,,,,,,
23.9368,280.61554,,,,,,,,
24.0368,281.23917,,,,,,,,
24.1368,281.00533,,,,,,,,
24.2368,281.16122,,,,,,,,
24.3368,281.00533,,,,,,,,
24.4368,281.70686,,,,,,,,
24.5368,281.55095,,,,,,,,
24.6368,281.86278,,,,,,,,
24.7368,281.78484,,,,,,,,
24.8368,281.86278,,,,,,,,
24.9368,282.17458,,,,,,,,
25.0368,282.09662,,,,,,,,
25.1368,282.79821,,,,,,,,
25.2368,282.09662,,,,,,,,
25.3368,282.64232,,,,,,,,
25.4368,282.40842,,,,,,,,
25.5368,282.64232,,,,,,,,
25.6368,282.64232,,,,,,,,
25.7368,282.87616,,,,,,,,
25.8368,282.64232,,,,,,,,
25.9368,282.87616,,,,,,,,
26.0368,283.03205,,,,,,,,
26.1368,283.03205,,,,,,,,
26.2368,283.42179,,,,,,,,
26.3368,283.2659,,,,,,,,
26.4368,283.03205,,,,,,,,
26.5368,283.42179,,,,,,,,
26.6368,283.49979,,,,,,,,
26.7368,283.96748,,,,,,,,
26.8368,283.73363,,,,,,,,
26.9368,283.57772,,,,,,,,
27.0368,284.27928,,,,,,,,
27.1368,284.27928,,,,,,,,
27.2368,284.35726,,,,,,,,
27.3368,284.4352,,,,,,,,
27.4368,284.74697,,,,,,,,
27.5368,284.59111,,,,,,,,
27.6368,285.29267,,,,,,,,
27.7368,284.98082,,,,,,,,
27.8368,284.82495,,,,,,,,
27.9368,285.0588,,,,,,,,
28.0368,284.98082,,,,,,,,
28.1368,285.3706,,,,,,,,
28.2368,285.44856,,,,,,,,
28.3368,285.60445,,,,,,,,
28.4368,285.3706,,,,,,,,
