time,strain,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,1.71E-06,25,cyclic-time-strain,cyclic-time-strain,0.015,4.30E-04,157000,0.3
17.2368,0.00687,,,,,,,,
17.3368,0.00691,,,,,,,,
17.4368,0.00696,,,,,,,,
17.5368,0.00701,,,,,,,,
17.6368,0.00705,,,,,,,,
17.7368,0.00709,,,,,,,,
17.8368,0.00713,,,,,,,,
17.9368,0.00719,,,,,,,,
18.0368,0.00722,,,,,,,,
18.1368,0.00725,,,,,,,,
18.2368,0.00732,,,,,,,,
18.3368,0.00734,,,,,,,,
18.4368,0.00739,,,,,,,,
18.5368,0.00746,,,,,,,,
18.6368,0.00748,,,,,,,,
18.7368,0.00753,,,,,,,,
18.8368,0.00756,,,,,,,,
18.9368,0.00762,,,,,,,,
19.0368,0.00766,,,,,,,,
19.1368,0.00769,,,,,,,,
19.2368,0.00773,,,,,,,,
19.3368,0.00778,,,,,,,,
19.4368,0.00781,,,,,,,,
19.5368,0.00785,,,,,,,,
19.6368,0.0079,,,,,,,,
19.7368,0.00795,,,,,,,,
19.8368,0.00798,,,,,,,,
19.9368,0.00802,,,,,,,,
20.0368,0.00806,,,,,,,,
20.1368,0.00811,,,,,,,,
20.2368,0.00818,,,,,,,,
20.3368,0.00819,,,,,,,,
20.4368,0.00825,,,,,,,,
20.5368,0.00827,,,,,,,,
20.6368,0.00833,,,,,,,,
20.7368,0.00837,,,,,,,,
20.8368,0.0084,,,,,,,,
20.9368,0.00844,,,,,,,,
21.0368,0.00848,,,,,,,,
21.1368,0.00853,,,,,,,,
21.2368,0.00858,,,,,,,,
21.3368,0.00862,,,,,,,,
21.4368,0.00867,,,,,,,,
21.5368,0.00871,,,,,,,,
21.6368,0.00875,,,,,,,,
21.7368,0.0088,,,,,,,,
21.8368,0.00883,,,,,,,,
21.9368,0.00886,,,,,,,,
22.0368,0.00894,,,,,,,,
22.1368,0.00896,,,,,,,,
22.2368,0.009,,,,,,,,
22.3368,0.00904,,,,,,,,
22.4368,0.0091,,,,,,,,
22.5368,0.00914,,,,,,,,
22.6368,0.00917,,,,,,,,
22.7368,0.00921,,,,,,,,
22.8368,0.00926,,,,,,,,
22.9368,0.0093,,,,,,,,
23.0368,0.00933,,,,,,,,
23.1368,0.00937,,,,,,,,
23.2368,0.00944,,,,,,,,
23.3368,0.00946,,,,,,,,
23.4368,0.00949,,,,,,,,
23.5368,0.00956,,,,,,,,
23.6368,0.00961,,,,,,,,
23.7368,0.00962,,,,,,,,
23.8368,0.00968,,,,,,,,
23.9368,0.00973,,,,,,,,
24.0368,0.00977,,,,,,,,
24.1368,0.0098,,,,,,,,
24.2368,0.00985,,,,,,,,
24.3368,0.0099,,,,,,,,
24.4368,0.00996,,,,,,,,
24.5368,0.00999,,,,,,,,
24.6368,0.01002,,,,,,,,
24.7368,0.01008,,,,,,,,
24.8368,0.01012,,,,,,,,
24.9368,0.01015,,,,,,,,
25.0368,0.01018,,,,,,,,
25.1368,0.01026,,,,,,,,
25.2368,0.01028,,,,,,,,
25.3368,0.01032,,,,,,,,
25.4368,0.01037,,,,,,,,
25.5368,0.01039,,,,,,,,
25.6368,0.01045,,,,,,,,
25.7368,0.01048,,,,,,,,
25.8368,0.01054,,,,,,,,
25.9368,0.01057,,,,,,,,
26.0368,0.01061,,,,,,,,
26.1368,0.01065,,,,,,,,
26.2368,0.01071,,,,,,,,
26.3368,0.01075,,,,,,,,
26.4368,0.01079,,,,,,,,
26.5368,0.01081,,,,,,,,
26.6368,0.01087,,,,,,,,
26.7368,0.01092,,,,,,,,
26.8368,0.01095,,,,,,,,
26.9368,0.01099,,,,,,,,
27.0368,0.01105,,,,,,,,
27.1368,0.01109,,,,,,,,
27.2368,0.01111,,,,,,,,
27.3368,0.01118,,,,,,,,
27.4368,0.01121,,,,,,,,
27.5368,0.01125,,,,,,,,
27.6368,0.01129,,,,,,,,
27.7368,0.01134,,,,,,,,
27.8368,0.01139,,,,,,,,
27.9368,0.01141,,,,,,,,
28.0368,0.01145,,,,,,,,
28.1368,0.01151,,,,,,,,
28.2368,0.01155,,,,,,,,
28.3368,0.01158,,,,,,,,
28.4368,0.01164,,,,,,,,
28.5368,0.01168,,,,,,,,
28.6368,0.01173,,,,,,,,
28.7368,0.01175,,,,,,,,
28.8368,0.01178,,,,,,,,
28.9368,0.01184,,,,,,,,
29.0368,0.01188,,,,,,,,
29.1368,0.01192,,,,,,,,
29.2368,0.01198,,,,,,,,
29.3368,0.01201,,,,,,,,
29.4368,0.01205,,,,,,,,
29.5368,0.01209,,,,,,,,
29.6368,0.01215,,,,,,,,
29.7368,0.0122,,,,,,,,
29.8368,0.01223,,,,,,,,
29.9368,0.01228,,,,,,,,
30.0368,0.01232,,,,,,,,
30.1368,0.01236,,,,,,,,
30.2368,0.0124,,,,,,,,
30.3368,0.01244,,,,,,,,
30.4368,0.0125,,,,,,,,
30.5368,0.01254,,,,,,,,
30.6368,0.01257,,,,,,,,
30.7368,0.0126,,,,,,,,
30.8368,0.01266,,,,,,,,
30.9368,0.0127,,,,,,,,
31.0368,0.01274,,,,,,,,
31.1368,0.01278,,,,,,,,
31.2368,0.01282,,,,,,,,
31.3368,0.01286,,,,,,,,
31.4368,0.01289,,,,,,,,
31.5368,0.01294,,,,,,,,
31.6368,0.013,,,,,,,,
31.7368,0.01303,,,,,,,,
31.8368,0.01307,,,,,,,,
31.9368,0.0131,,,,,,,,
32.0368,0.01316,,,,,,,,
32.1368,0.01319,,,,,,,,
32.2368,0.01323,,,,,,,,
32.3368,0.01329,,,,,,,,
32.4368,0.01331,,,,,,,,
32.5368,0.01338,,,,,,,,
32.6368,0.01341,,,,,,,,
32.7368,0.01347,,,,,,,,
32.8368,0.01351,,,,,,,,
32.9368,0.01353,,,,,,,,
33.0368,0.01358,,,,,,,,
33.1368,0.01362,,,,,,,,
33.2368,0.01367,,,,,,,,
33.3368,0.01371,,,,,,,,
33.4368,0.01375,,,,,,,,
33.5368,0.01381,,,,,,,,
33.6368,0.01384,,,,,,,,
33.7368,0.01388,,,,,,,,
33.8368,0.01393,,,,,,,,
33.9368,0.01398,,,,,,,,
34.0368,0.014,,,,,,,,
34.1368,0.01404,,,,,,,,
34.2368,0.01409,,,,,,,,
34.3368,0.01413,,,,,,,,
34.4368,0.01417,,,,,,,,
34.5368,0.01422,,,,,,,,
34.6368,0.01426,,,,,,,,
34.7368,0.0143,,,,,,,,
34.8368,0.01434,,,,,,,,
34.9368,0.01438,,,,,,,,
35.0368,0.01443,,,,,,,,
35.1368,0.01447,,,,,,,,
35.2368,0.0145,,,,,,,,
35.3368,0.01455,,,,,,,,
35.4368,0.01461,,,,,,,,
35.5368,0.01465,,,,,,,,
35.6368,0.01468,,,,,,,,
35.7368,0.01473,,,,,,,,
35.8368,0.01476,,,,,,,,
35.9368,0.01479,,,,,,,,
