strain,stress,temp,type,title,medium,strain_rate,youngs,poissons
0.000183813,72.6233479,,,,,,,
0.000186763,73.05364241,,,,,,,
0.000188242,73.49383334,,,,,,,
0.000191952,73.95419426,,,,,,,
0.000195661,74.38455272,,,,,,,
0.00019787,74.81480217,,,,,,,
0.00020158,75.22516234,,,,,,,
0.000203799,75.65541694,,,,,,,
0.000206769,76.09573258,,,,,,,
0.000210478,76.52610536,,,,,,,
0.000214177,76.95648055,,,,,,,
0.000217886,77.43687059,,,,,,,
0.000221595,77.87725533,,,,,,,
0.000224565,78.3175854,,,,,,,
0.000227514,78.76791878,,,,,,,
0.000230493,79.20825488,,,,,,,
0.000233433,79.66859509,,,,,,,
0.000236412,80.09893412,,,,,,,
0.000239391,80.54928049,,,,,,,
0.00024309,81.00969029,,,,,,,
0.00024604,81.50004978,,,,,,,
0.000249009,81.93039887,,,,,,,
0.000252718,82.37081396,,,,,,,
0.000256427,82.81123232,,,,,,,
0.000259366,83.27159505,,,,,,,
0.000262346,83.73196383,,,,,,,
0.000266055,84.1923968,,,,,,,
0.000268264,84.56268208,,,,,,,
0.000271973,85.08313717,,,,,,,
0.000275672,85.53357596,,,,,,,
0.000278651,85.99395898,,,,,,,
0.00028236,86.41439654,,,,,,,
0.000285329,86.87478438,,,,,,,
0.000289038,87.32523668,,,,,,,
0.000292037,87.78563294,,,,,,,
0.000295836,88.19608774,,,,,,,
0.000300795,88.70667849,,,,,,,
0.000303714,89.18708324,,,,,,,
0.000308962,89.68770584,,,,,,,
0.000312751,90.14818954,,,,,,,
0.00031654,90.59867356,,,,,,,
0.000318589,91.00898987,,,,,,,
0.000322378,91.51949912,,,,,,,
0.000326167,91.97999593,,,,,,,
0.000329666,92.42046283,,,,,,,
0.000332875,92.91092254,,,,,,,
0.000335794,93.36134488,,,,,,,
0.000340172,93.87192718,,,,,,,
0.000344551,94.34250017,,,,,,,
0.00034746,94.82294142,,,,,,,
0.000351258,95.2634562,,,,,,,
0.000354177,95.74390431,,,,,,,
0.000357966,96.20443175,,,,,,,
0.000360885,96.6648786,,,,,,,
0.000364673,97.12541261,,,,,,,
0.000368172,97.61593286,,,,,,,
0.00037342,98.08662069,,,,,,,
0.000377219,98.56717438,,,,,,,
0.000381007,99.02772311,,,,,,,
0.000384506,99.47824264,,,,,,,
0.000388295,99.9788137,,,,,,,
0.000390634,100.4392273,,,,,,,
0.000396471,100.9400119,,,,,,,
0.00040026,101.4405945,,,,,,,
0.000403758,101.9411513,,,,,,,
0.000406967,102.3416412,,,,,,,
0.000410466,102.8422045,,,,,,,
0.000413385,103.3427115,,,,,,,
0.000417173,103.8433116,,,,,,,
0.000420092,104.3438248,,,,,,,
0.00042534,104.7445425,,,,,,,
0.000429718,105.245216,,,,,,,
0.000432636,105.7457396,,,,,,,
0.000436425,106.2463584,,,,,,,
0.000440213,106.7469811,,,,,,,
0.000444011,107.1475642,,,,,,,
0.00044751,107.6481628,,,,,,,
0.000451888,108.2489053,,,,,,,
0.000455096,108.7494802,,,,,,,
0.000458595,109.25009,,,,,,,
0.000462383,109.7507352,,,,,,,
0.000466171,110.2513841,,,,,,,
0.00046967,110.7520046,,,,,,,
0.000473468,111.2526621,,,,,,,
0.000476387,111.7532251,,,,,,,
0.000479295,112.2537898,,,,,,,
0.000484553,112.7546223,,,,,,,
0.000487461,113.2551941,,,,,,,
0.000491259,113.6558208,,,,,,,
0.000494178,114.2564491,,,,,,,
0.000498836,114.6571808,,,,,,,
0.000503793,115.2580516,,,,,,,
0.000506712,115.6585907,,,,,,,
0.000511379,116.1593863,,,,,,,
0.000516337,116.6602204,,,,,,,
0.000520125,117.2609745,,,,,,,
0.000523923,117.6616295,,,,,,,
0.000526841,118.1622363,,,,,,,
0.000531209,118.6630181,,,,,,,
0.000534127,119.1636316,,,,,,,
0.000538795,119.6644572,,,,,,,
0.000542293,120.165147,,,,,,,
0.00054842,120.6661575,,,,,,,
0.000551338,121.1667854,,,,,,,
0.000556585,121.6676996,,,,,,,
0.000560083,122.1684053,,,,,,,
0.00056533,122.6693291,,,,,,,
0.000568249,123.1699713,,,,,,,
0.000572916,123.6708327,,,,,,,
0.000576414,124.1715536,,,,,,,
0.000579332,124.5721478,,,,,,,
0.000585459,125.2733209,,,,,,,
0.000589826,125.674104,,,,,,,
0.000593624,126.1748782,,,,,,,
0.000597991,126.7757881,,,,,,,
0.000600909,127.1763985,,,,,,,
0.000606156,127.7774296,,,,,,,
0.000610534,128.2782943,,,,,,,
0.000614911,128.8792249,,,,,,,
0.000617829,129.2798482,,,,,,,
0.000623076,129.8809004,,,,,,,
0.000627443,130.3817815,,,,,,,
0.000631241,130.8825924,,,,,,,
0.000635608,131.3834819,,,,,,,
0.000638816,131.8842228,,,,,,,
0.000642324,132.3850067,,,,,,,
0.00064757,132.8860252,,,,,,,
0.000651358,133.4869194,,,,,,,
0.000655735,133.9878317,,,,,,,
0.000660112,134.4887484,,,,,,,
0.0006639,134.9895898,,,,,,,
0.000668277,135.4905149,,,,,,,
0.000672064,135.9913642,,,,,,,
0.000676441,136.4922978,,,,,,,
0.000680229,136.993155,,,,,,,
0.000684606,137.5941655,,,,,,,
0.000688973,138.095111,,,,,,,
0.000688973,138.5954556,,,,,,,
0.000693639,139.1965187,,,,,,,
0.000696557,139.6972733,,,,,,,
0.000700934,140.1982353,,,,,,,
0.000703842,140.6989951,,,,,,,
0.000708219,141.1999651,,,,,,,
0.000712006,141.700856,,,,,,,
0.000716383,142.3019062,,,,,,,
0.00072105,142.7028588,,,,,,,
0.000725427,143.3039188,,,,,,,
0.000729794,143.8049096,,,,,,,
0.00073417,144.4059797,,,,,,,
0.000737958,144.9068957,,,,,,,
0.000741755,145.407817,,,,,,,
0.000746122,145.9088251,,,,,,,
0.000751378,146.4099679,,,,,,,
0.000754875,146.9108575,,,,,,,
0.000759541,147.5119989,,,,,,,
0.000763039,148.0128965,,,,,,,
0.000767705,148.614048,,,,,,,
0.000772661,149.115171,,,,,,,
0.000775869,149.6160374,,,,,,,
0.000780236,150.117081,,,,,,,
0.000784612,150.718209,,,,,,,
0.000788399,151.2191741,,,,,,,
0.000791906,151.7201006,,,,,,,
0.000797152,152.2212952,,,,,,,
0.000801519,152.7223608,,,,,,,
0.000806185,153.3235573,,,,,,,
0.000811141,153.9248041,,,,,,,
0.000814938,154.4257962,,,,,,,
0.000820184,154.9270165,,,,,,,
0.00082456,155.428107,,,,,,,
0.000828347,155.9291099,,,,,,,
0.000832723,156.5302921,,,,,,,
0.000838548,156.9315395,,,,,,,
0.000843214,157.5327779,,,,,,,
0.000847591,158.1339761,,,,,,,
0.000851377,158.6350008,,,,,,,
0.000856333,159.1362153,,,,,,,
0.000860999,159.7374747,,,,,,,
0.000865375,160.2386066,,,,,,,
0.000869742,160.7397413,,,,,,,
0.000873538,161.2407885,,,,,,,
0.000878784,161.8421618,,,,,,,
0.00088316,162.3433118,,,,,,,
0.000887526,162.9445534,,,,,,,
0.000891902,163.4457126,,,,,,,
0.000896568,163.9469237,,,,,,,
0.000900944,164.5481819,,,,,,,
0.00090531,165.0493532,,,,,,,
0.000910555,165.5506744,,,,,,,
0.000914931,166.0518566,,,,,,,
0.000921635,166.4533386,,,,,,,
0.00092688,166.9546753,,,,,,,
0.000932715,167.456116,,,,,,,
0.00093796,167.9574635,,,,,,,
0.000943205,168.4588163,,,,,,,
0.00094817,169.0602219,,,,,,,
0.000953415,169.5615856,,,,,,,
0.00095866,170.1630504,,,,,,,
0.000963905,170.6644251,,,,,,,
0.000968861,171.1657554,,,,,,,
0.000974105,171.6671405,,,,,,,
0.000981688,171.7685404,,,,,,,
0.000986643,172.2698851,,,,,,,
0.000990439,172.8711336,,,,,,,
0.000995684,173.472638,,,,,,,
0.0010001,173.9739043,,,,,,,
0.001004395,174.4751541,,,,,,,
0.00100969,174.976583,,,,,,,
0.001023076,175.17913,,,,,,,
0.00103936,175.3821905,,,,,,,
0.001046652,175.7838883,,,,,,,
0.001054244,176.2857503,,,,,,,
0.001062435,176.7877258,,,,,,,
0.001074123,177.1902219,,,,,,,
0.001083713,177.5923548,,,,,,,
0.001099495,177.8954878,,,,,,,
0.001109684,178.2977444,,,,,,,
0.001124468,178.6007178,,,,,,,
0.001137952,179.0035817,,,,,,,
0.001142847,179.4049152,,,,,,,
0.001149539,180.006806,,,,,,,
0.001158629,180.5090218,,,,,,,
0.001164422,181.0106501,,,,,,,
0.00125711,179.2251641,,,,,,,
0.001265299,179.727265,,,,,,,
0.001275486,180.229734,,,,,,,
0.00128068,180.8314389,,,,,,,
0.001286572,181.4332769,,,,,,,
0.001294761,181.835281,,,,,,,
0.001299955,182.3368757,,,,,,,
0.00136347,181.5473657,,,,,,,
0.001372558,182.0497023,,,,,,,
0.001380646,182.5518657,,,,,,,
0.00139233,182.9545559,,,,,,,
0.001400519,183.4567548,,,,,,,
0.001408108,183.9588517,,,,,,,
0.0014139,184.4606246,,,,,,,
0.001419192,185.062453,,,,,,,
0.001435469,185.4660398,,,,,,,
0.00144885,185.6688115,,,,,,,
0.001461432,185.9715862,,,,,,,
0.001487293,185.9763959,,,,,,,
0.001516749,185.7815705,,,,,,,
0.001554591,186.0890676,,,,,,,
0.001589336,186.0955335,,,,,,,
0.001610003,186.2997018,,,,,,,
0.001622483,186.7026763,,,,,,,
0.001633865,187.2056189,,,,,,,
0.001644946,187.608352,,,,,,,
0.00165513,188.1110907,,,,,,,
0.001665612,188.6138961,,,,,,,
0.001675196,189.0163744,,,,,,,
0.001686277,189.4191441,,,,,,,
0.001703149,189.7228512,,,,,,,
0.00207774,181.5768779,,,,,,,
0.002085923,182.1796166,,,,,,,
0.00209231,182.7820368,,,,,,,
0.002097499,183.3842451,,,,,,,
0.002105083,184.087111,,,,,,,
0.002111469,184.5893435,,,,,,,
0.002116758,185.1915912,,,,,,,
0.002122845,185.7939935,,,,,,,
0.002127835,186.3961986,,,,,,,
0.002133922,186.9986149,,,,,,,
0.002140607,187.6011509,,,,,,,
0.002146994,188.2036385,,,,,,,
0.002152282,188.8059266,,,,,,,
0.002158369,189.3081562,,,,,,,
0.002164755,189.8104487,,,,,,,
