x,y,temp,type,title,medium,s_rate
0,0,950,tensile,D11,Air,0.36097834895845443
1.5290883093824094e-05,10.14015505074,,,,,
1.5290883093824094e-05,10.260156885659999,,,,,
1.6007871873347158e-05,10.34016552272,,,,,
1.6007871873347158e-05,10.450167283599999,,,,,
1.6007871873347158e-05,10.53016856424,,,,,
1.6007871873347158e-05,10.640170325120001,,,,,
1.6753859653317285e-05,10.7001792678,,,,,
1.6753859653317285e-05,10.8001809432,,,,,
1.6753859653317285e-05,10.91018278614,,,,,
1.747084738390371e-05,10.99019200629,,,,,
1.747084738390371e-05,11.080193578680001,,,,,
1.821683407251319e-05,11.18020366606,,,,,
1.8933820754166054e-05,11.26021319684,,,,,
1.965080692152734e-05,11.330222645829998,,,,,
1.965080692152734e-05,11.440224807439998,,,,,
2.0396791983918404e-05,11.52023497344,,,,,
2.0396791983918404e-05,11.63023721711,,,,,
2.1859761073611107e-05,11.700255761999998,,,,,
2.1859761073611107e-05,11.810258166599999,,,,,
2.1859761073611107e-05,11.900260134,,,,,
2.1859761073611107e-05,11.980261882799999,,,,,
2.257674514333952e-05,12.090272955929999,,,,,
2.403971104383394e-05,12.190293047599999,,,,,
2.403971104383394e-05,12.280295211199999,,,,,
2.475769352567903e-05,12.360306008879999,,,,,
2.475769352567903e-05,12.450308237099998,,,,,
2.550267480406227e-05,12.550320062650002,,,,,
2.622065623552615e-05,12.63033117123,,,,,
2.6937637178570143e-05,12.740343190119999,,,,,
2.6937637178570143e-05,12.83034561454,,,,,
2.6937637178570143e-05,12.91034776958,,,,,
2.8400596699246802e-05,13.01036949701,,,,,
2.914657523445638e-05,13.1003818257,,,,,
2.8400596699246802e-05,13.18037432518,,,,,
2.914657523445638e-05,13.29038736363,,,,,
2.986355407967603e-05,13.37039928168,,,,,
3.060953152355201e-05,13.4604120106,,,,,
3.060953152355201e-05,13.560415071600001,,,,,
3.2072485672409665e-05,13.650437796450001,,,,,
3.2072485672409665e-05,13.76044132448,,,,,
3.350643865294751e-05,13.840463736879999,,,,,
3.350643865294751e-05,13.940467087579998,,,,,
3.425241337931973e-05,14.030480569589999,,,,,
3.4969388563772104e-05,14.120493776399998,,,,,
3.571536219882187e-05,14.190506810039999,,,,,
3.571536219882187e-05,14.330511810279999,,,,,
3.571536219882187e-05,14.440515739039999,,,,,
3.571536219882187e-05,14.500517881999999,,,,,
3.7150309918592934e-05,14.600542404599999,,,,,
3.7150309918592934e-05,14.690545748189997,,,,,
3.7150309918592934e-05,14.770548720269998,,,,,
3.7150309918592934e-05,14.880552806879999,,,,,
3.789628192673526e-05,14.98056769706,,,,,
3.789628192673526e-05,15.090571865729999,,,,,
3.861325449863e-05,15.17058577438,,,,,
3.861325449863e-05,15.260589249639999,,,,,
3.935922541545781e-05,15.370604963199998,,,,,
3.935922541545781e-05,15.430607324799999,,,,,
3.935922541545781e-05,15.540611654399997,,,,,
3.935922541545781e-05,15.610614409599998,,,,,
4.007619693846335e-05,15.75063121275,,,,,
4.007619693846335e-05,15.84063481968,,,,,
4.079316794742108e-05,15.92064944048,,,,,
4.225610719817234e-05,16.060678647419998,,,,,
4.225610719817234e-05,16.160682873120003,,,,,
4.371904430873547e-05,16.25071045,,,,,
