x,y,temp,type,title,medium,strain_rate
0,0,25,tensile,test,Air,0.001
3.91E-05,8.249668891,,,,,
5.86E-05,12.37442289,,,,,
6.84E-05,14.43677957,,,,,
7.82E-05,16.49911654,,,,,
8.80E-05,18.56143195,,,,,
9.77E-05,20.62372374,,,,,
0.000107517,22.68598634,,,,,
0.00011729,24.748204,,,,,
0.000127064,26.81033892,,,,,
0.000136837,28.87230943,,,,,
0.000146611,30.93394418,,,,,
0.000156384,32.99490356,,,,,
0.000166158,35.05454507,,,,,
0.000175931,37.1116997,,,,,
0.000185704,39.16432175,,,,,
0.000195477,41.20896347,,,,,
0.000205249,43.24003641,,,,,
0.000215022,45.24886825,,,,,
0.000224795,47.22267561,,,,,
0.000234567,49.14377902,,,,,
0.000239453,50.08681251,,,,,
0.000244339,51.00910008,,,,,
0.000249225,51.90719359,,,,,
0.000254111,52.77753059,,,,,
0.000258997,53.61657147,,,,,
0.000263883,54.42095878,,,,,
0.000268769,55.18768429,,,,,
0.000273655,55.91424651,,,,,
0.00027854,56.59878043,,,,,
0.000283426,57.2401449,,,,,
0.000288312,57.83795892,,,,,
0.000293197,58.39258578,,,,,
0.000298083,58.90507078,,,,,
0.000302969,59.37704376,,,,,
0.000307854,59.81059988,,,,,
0.00031274,60.20817227,,,,,
0.000317625,60.57240828,,,,,
0.000322511,60.90605763,,,,,
0.000327396,61.21187804,,,,,
0.000332282,61.49256022,,,,,
0.000337167,61.75067245,,,,,
0.000342053,61.98862269,,,,,
0.000351823,62.40067603,,,,,
0.000361594,62.7618548,,,,,
0.000371365,63.08271076,,,,,
0.000381136,63.37167598,,,,,
0.000390906,63.63540302,,,,,
0.000400677,63.87909902,,,,,
0.000410447,64.10682102,,,,,
0.000420218,64.32172351,,,,,
0.000429988,64.52625933,,,,,
0.000439758,64.72233888,,,,,
0.000449529,64.91145436,,,,,
0.000459299,65.09477605,,,,,
0.000469069,65.27322646,,,,,
0.000478839,65.44753688,,,,,
0.000488609,65.61829093,,,,,
0.000498379,65.78595756,,,,,
0.000508148,65.95091667,,,,,
0.000517918,66.11347842,,,,,
0.000527687,66.27389816,,,,,
0.000537457,66.43238792,,,,,
0.000547226,66.5891254,,,,,
0.000556996,66.74426072,,,,,
0.000566765,66.89792189,,,,,
