time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00078125,0.00078125,3.229592215994e-09,5.8645048013065e-09,8.2496688909275,-1.1729387041744e-05,-1.172938702551e-05,3.909795681611e-05,-1.1729387032031e-05,-1.1729386983623e-05,3.909795676451e-05,-1.1729387032031e-05,-1.1729386983623e-05,3.909795676451e-05,1609870,81880,289,13
0.001171875,0.000390625,5.2647162784455e-07,1.2509765300119e-07,12.374422892237,-1.7593963880232e-05,-1.7593966353152e-05,5.8646553065244e-05,-1.759396386557e-05,-1.7593966282386e-05,5.8646552979817e-05,-1.759396386557e-05,-1.7593966282386e-05,5.8646552979817e-05,1609870,81880,438,12
0.0013671875,0.0001953125,3.3781425212077e-07,1.4345325564477e-07,14.436779572053,-2.0526225482643e-05,-2.0526226680128e-05,6.8420755581388e-05,-2.0526225527252e-05,-2.0526226661438e-05,6.8420755607307e-05,-2.0526225527252e-05,-2.0526226661438e-05,6.8420755607307e-05,1609870,81880,257,6
0.0015625,0.0001953125,1.3708197997642e-06,7.7087363251057e-07,16.499116541888,-2.3458454137483e-05,-2.3458457833833e-05,7.8194862082372e-05,-2.3458454543055e-05,-2.3458458199457e-05,7.8194862853567e-05,-2.3458454543055e-05,-2.3458458199457e-05,7.8194862853567e-05,1609870,81880,196,5
0.0017578125,0.0001953125,1.1778848522068e-06,3.1031537418443e-07,18.561431946094,-2.6390656393544e-05,-2.6390661738759e-05,8.7968869666509e-05,-2.6390658626498e-05,-2.6390664297724e-05,8.7968874458427e-05,-2.6390658626498e-05,-2.6390664297724e-05,8.7968874458427e-05,1609870,81880,191,5
0.001953125,0.0001953125,2.5877186974567e-07,1.5098710613277e-07,20.623723742054,-2.9322828953272e-05,-2.9322829617349e-05,9.7742765967424e-05,-2.9322840410591e-05,-2.9322842435846e-05,9.7742790243239e-05,-2.9322840410591e-05,-2.9322842435846e-05,9.7742790243239e-05,1609870,81880,306,6
0.0021484375,0.0001953125,2.9158146973056e-07,1.7165986767486e-07,22.68598634099,-3.2254955745088e-05,-3.2254956483941e-05,0.00010751652228444,-3.225499760791e-05,-3.2255003009147e-05,0.00010751661067247,-3.225499760791e-05,-3.2255003009147e-05,0.00010751661067247,1609870,81880,299,6
0.00234375,0.0001953125,7.6513754142075e-07,4.4215289288774e-07,24.748203998409,-3.5187016905361e-05,-3.5187018895313e-05,0.00011729006462664,-3.5187145290556e-05,-3.5187161382426e-05,0.00011729033549895,-3.5187145290556e-05,-3.5187161382426e-05,0.00011729033549895,1609870,81880,253,6
0.0025390625,0.0001953125,4.4963664117186e-07,2.5185540941969e-07,26.810338919549,-3.8118963515567e-05,-3.8118964734125e-05,0.00012706321663081,-3.8119318115181e-05,-3.811935811889e-05,0.00012706396461519,-3.8119318115181e-05,-3.811935811889e-05,0.00012706396461519,1609870,81880,242,6
