x,y,type,temp,stress
33.42,0.0132,,,
33.55,0.01325,,,
33.7,0.0133,,,
33.82,0.01336,,,
34.04,0.01341,,,
34.2,0.01347,,,
34.29,0.01352,,,
34.45,0.01357,,,
34.57,0.01363,,,
34.69,0.01368,,,
34.8,0.01373,,,
34.99,0.01378,,,
35.3,0.01383,,,
35.44,0.01389,,,
35.65,0.01394,,,
35.8,0.01399,,,
36.05,0.01404,,,
36.19,0.01409,,,
36.29,0.01415,,,
36.47,0.0142,,,
36.59,0.01425,,,
36.75,0.01431,,,
36.89,0.01436,,,
37.12,0.01441,,,
37.41,0.01446,,,
37.69,0.01452,,,
37.84,0.01457,,,
38.04,0.01462,,,
38.21,0.01467,,,
38.27,0.01473,,,
38.47,0.01478,,,
38.61,0.01483,,,
38.69,0.01488,,,
38.81,0.01494,,,
38.99,0.01499,,,
39.21,0.01504,,,
39.29,0.0151,,,
39.44,0.01515,,,
39.64,0.0152,,,
39.89,0.01525,,,
40.03,0.01531,,,
40.23,0.01536,,,
40.38,0.01541,,,
40.69,0.01546,,,
40.78,0.01552,,,
40.99,0.01557,,,
41.09,0.01562,,,
41.18,0.01568,,,
41.31,0.01573,,,
41.48,0.01578,,,
41.66,0.01584,,,
41.89,0.01589,,,
41.99,0.01594,,,
42.13,0.016,,,
42.38,0.01605,,,
42.63,0.0161,,,
42.83,0.01616,,,
42.99,0.01621,,,
43.11,0.01626,,,
43.3,0.01632,,,
43.45,0.01637,,,
43.56,0.01642,,,
43.9,0.01648,,,
43.98,0.01653,,,
44.11,0.01659,,,
44.33,0.01664,,,
44.51,0.0167,,,
44.71,0.01675,,,
44.95,0.0168,,,
45.01,0.01686,,,
45.2,0.01691,,,
45.35,0.01697,,,
45.48,0.01702,,,
45.66,0.01708,,,
45.85,0.01713,,,
46.18,0.01719,,,
46.38,0.01724,,,
46.52,0.0173,,,
46.68,0.01735,,,
46.88,0.01741,,,
46.98,0.01746,,,
47.18,0.01752,,,
47.32,0.01757,,,
47.65,0.01763,,,
47.83,0.01769,,,
47.97,0.01774,,,
48.12,0.0178,,,
48.33,0.01785,,,
48.42,0.01791,,,
48.57,0.01797,,,
48.77,0.01802,,,
48.87,0.01808,,,
49.07,0.01813,,,
49.23,0.01819,,,
49.37,0.01824,,,
49.57,0.01829,,,
49.77,0.01835,,,
49.92,0.0184,,,
50.12,0.01846,,,
50.35,0.01851,,,
50.6,0.01856,,,
50.87,0.01862,,,
51.1,0.01867,,,
51.24,0.01873,,,
51.39,0.01878,,,
51.57,0.01884,,,
51.75,0.01889,,,
51.92,0.01895,,,
52.04,0.019,,,
52.24,0.01905,,,
52.34,0.01911,,,
52.6,0.01916,,,
52.7,0.01922,,,
52.81,0.01927,,,
53.12,0.01933,,,
53.22,0.01938,,,
53.51,0.01944,,,
53.71,0.01949,,,
53.87,0.01954,,,
53.92,0.0196,,,
54.07,0.01965,,,
54.14,0.01971,,,
54.26,0.01976,,,
54.39,0.01982,,,
54.59,0.01987,,,
54.84,0.01993,,,
55.02,0.01998,,,
55.21,0.02003,,,
55.37,0.02009,,,
55.59,0.02014,,,
55.66,0.0202,,,
55.87,0.02025,,,
56.14,0.0203,,,
56.39,0.02036,,,
56.73,0.02041,,,
56.93,0.02047,,,
57.08,0.02052,,,
57.29,0.02057,,,
57.44,0.02063,,,
57.63,0.02068,,,
57.74,0.02073,,,
57.88,0.02078,,,
58.03,0.02083,,,
58.28,0.02088,,,
58.46,0.02094,,,
58.66,0.02099,,,
58.79,0.02104,,,
58.93,0.0211,,,
59.04,0.02115,,,
59.2,0.0212,,,
59.33,0.02126,,,
59.51,0.02131,,,
59.71,0.02136,,,
59.81,0.02141,,,
60.13,0.02146,,,
60.25,0.02152,,,
60.45,0.02157,,,
60.7,0.02162,,,
60.88,0.02168,,,
60.98,0.02173,,,
61.13,0.02178,,,
61.3,0.02184,,,
61.46,0.02189,,,
61.56,0.02194,,,
61.9,0.022,,,
62,0.02205,,,
62.18,0.0221,,,
62.35,0.02216,,,
62.53,0.02221,,,
62.63,0.02226,,,
62.85,0.02231,,,
63.03,0.02237,,,
63.23,0.02242,,,
63.45,0.02247,,,
63.53,0.02253,,,
63.73,0.02258,,,
63.87,0.02264,,,
64.17,0.02269,,,
64.42,0.02275,,,
64.53,0.02281,,,
64.72,0.02286,,,
64.83,0.02292,,,
65.07,0.02298,,,
65.2,0.02303,,,
65.65,0.02309,,,
65.85,0.02314,,,
65.97,0.0232,,,
66.15,0.02325,,,
66.35,0.02331,,,
66.49,0.02336,,,
66.64,0.02341,,,
66.8,0.02347,,,
66.95,0.02352,,,
67.12,0.02357,,,
67.37,0.02362,,,
67.52,0.02367,,,
67.77,0.02372,,,
67.9,0.02377,,,
68.09,0.02382,,,
68.2,0.02387,,,
68.32,0.02392,,,
68.44,0.02397,,,
68.5,0.02402,,,
68.69,0.02407,,,
68.82,0.02412,,,
69.11,0.02417,,,
69.27,0.02422,,,
69.51,0.02427,,,
69.66,0.02432,,,
69.81,0.02436,,,
70.06,0.02441,,,
70.16,0.02446,,,
70.31,0.02451,,,
70.49,0.02456,,,
70.62,0.0246,,,
70.76,0.02465,,,
70.87,0.0247,,,
71.04,0.02475,,,
71.22,0.02479,,,
71.37,0.02484,,,
71.47,0.02489,,,
71.66,0.02494,,,
71.74,0.02499,,,
71.91,0.02503,,,
72.06,0.02508,,,
72.28,0.02513,,,
72.36,0.02518,,,
72.69,0.02523,,,
72.93,0.02528,,,
73.21,0.02533,,,
73.38,0.02537,,,
73.48,0.02542,,,
73.59,0.02547,,,
73.71,0.02552,,,
73.88,0.02557,,,
74.08,0.02562,,,
74.19,0.02567,,,
74.43,0.02572,,,
74.76,0.02577,,,
74.91,0.02582,,,
75.03,0.02588,,,
75.15,0.02593,,,
75.33,0.02598,,,
75.45,0.02603,,,
75.65,0.02608,,,
75.75,0.02613,,,
75.9,0.02618,,,
76,0.02623,,,
76.3,0.02628,,,
76.48,0.02633,,,
76.65,0.02638,,,
76.81,0.02643,,,
76.93,0.02648,,,
77.16,0.02654,,,
77.3,0.02659,,,
77.43,0.02664,,,
77.56,0.02669,,,
77.71,0.02674,,,
77.93,0.02679,,,
78.16,0.02684,,,
78.28,0.0269,,,
78.55,0.02695,,,
78.75,0.027,,,
78.85,0.02705,,,
79.05,0.02711,,,
79.17,0.02716,,,
79.33,0.02721,,,
79.48,0.02726,,,
79.67,0.02732,,,
79.98,0.02737,,,
80.25,0.02742,,,
80.38,0.02748,,,
80.7,0.02753,,,
80.8,0.02759,,,
81.02,0.02765,,,
81.18,0.02771,,,
81.37,0.02776,,,
81.5,0.02782,,,
81.69,0.02788,,,
81.92,0.02794,,,
82.04,0.02799,,,
82.2,0.02805,,,
82.39,0.02811,,,
82.52,0.02817,,,
82.75,0.02823,,,
82.94,0.02829,,,
83.04,0.02834,,,
83.24,0.0284,,,
83.45,0.02846,,,
83.8,0.02852,,,
84.25,0.02857,,,
84.39,0.02863,,,
84.6,0.02869,,,
84.89,0.02874,,,
85.02,0.0288,,,
85.21,0.02885,,,
85.44,0.02891,,,
85.56,0.02896,,,
85.82,0.02902,,,
85.96,0.02908,,,
86.14,0.02913,,,
86.32,0.02919,,,
86.46,0.02924,,,
86.64,0.02929,,,
86.74,0.02935,,,
87.02,0.0294,,,
87.17,0.02945,,,
87.39,0.02951,,,
87.66,0.02956,,,
87.84,0.02961,,,
88.01,0.02967,,,
88.19,0.02972,,,
88.36,0.02977,,,
88.48,0.02982,,,
88.61,0.02988,,,
88.74,0.02993,,,
88.88,0.02998,,,
89.03,0.03003,,,
89.21,0.03009,,,
89.29,0.03014,,,
89.51,0.03019,,,
89.83,0.03024,,,
90.04,0.03029,,,
90.26,0.03034,,,
