x,y,type,temp,stress
80.53,0.0144,,,
80.73,0.01445,,,
81.08,0.0145,,,
81.32,0.01455,,,
81.59,0.01459,,,
82,0.01464,,,
82.24,0.01469,,,
82.45,0.01474,,,
82.79,0.01479,,,
83.29,0.01483,,,
83.54,0.01488,,,
83.8,0.01493,,,
83.97,0.01498,,,
84.3,0.01503,,,
84.56,0.01507,,,
84.86,0.01512,,,
85.47,0.01517,,,
85.62,0.01522,,,
85.89,0.01527,,,
86.06,0.01532,,,
86.36,0.01537,,,
86.81,0.01542,,,
86.94,0.01547,,,
87.19,0.01552,,,
87.54,0.01557,,,
87.88,0.01563,,,
88.28,0.01568,,,
88.81,0.01574,,,
89.19,0.01579,,,
89.53,0.01585,,,
89.79,0.0159,,,
90.39,0.01596,,,
90.64,0.01602,,,
91.35,0.01608,,,
91.55,0.01614,,,
91.8,0.01619,,,
92.15,0.01625,,,
92.36,0.01631,,,
92.91,0.01637,,,
93.25,0.01643,,,
93.7,0.01649,,,
93.91,0.01655,,,
94.17,0.01661,,,
94.75,0.01667,,,
95.15,0.01674,,,
95.73,0.0168,,,
96.03,0.01686,,,
96.48,0.01692,,,
96.83,0.01698,,,
97.54,0.01704,,,
97.85,0.0171,,,
98.3,0.01716,,,
98.7,0.01722,,,
99,0.01728,,,
99.24,0.01734,,,
99.67,0.01739,,,
99.99,0.01745,,,
100.51,0.01751,,,
100.77,0.01757,,,
101.06,0.01762,,,
101.51,0.01768,,,
101.76,0.01773,,,
102.46,0.01778,,,
102.82,0.01784,,,
103.09,0.01789,,,
103.42,0.01794,,,
103.59,0.01799,,,
103.91,0.01804,,,
104.23,0.0181,,,
104.51,0.01815,,,
104.94,0.0182,,,
105.19,0.01825,,,
105.41,0.0183,,,
105.66,0.01835,,,
106.13,0.0184,,,
106.38,0.01845,,,
106.66,0.0185,,,
107.11,0.01856,,,
107.41,0.01861,,,
107.68,0.01866,,,
108.33,0.01871,,,
108.56,0.01876,,,
108.88,0.01881,,,
109.15,0.01886,,,
109.48,0.01891,,,
109.76,0.01896,,,
110.02,0.01901,,,
110.4,0.01907,,,
110.85,0.01912,,,
111.12,0.01917,,,
111.3,0.01922,,,
111.85,0.01927,,,
112.32,0.01933,,,
112.63,0.01938,,,
112.98,0.01943,,,
113.22,0.01949,,,
113.44,0.01954,,,
113.77,0.01959,,,
114.3,0.01965,,,
114.7,0.0197,,,
114.99,0.01975,,,
115.64,0.01981,,,
116.02,0.01986,,,
116.54,0.01992,,,
117.02,0.01997,,,
117.37,0.02003,,,
117.79,0.02008,,,
118.11,0.02013,,,
118.29,0.02019,,,
118.61,0.02024,,,
118.79,0.0203,,,
119.09,0.02035,,,
119.46,0.02041,,,
119.78,0.02046,,,
120.04,0.02052,,,
120.31,0.02057,,,
120.61,0.02062,,,
121.13,0.02068,,,
121.81,0.02073,,,
122.04,0.02079,,,
122.56,0.02084,,,
122.8,0.0209,,,
123.08,0.02095,,,
123.35,0.021,,,
123.63,0.02106,,,
123.93,0.02111,,,
124.45,0.02117,,,
124.88,0.02122,,,
125.08,0.02128,,,
125.51,0.02133,,,
125.95,0.02139,,,
126.35,0.02144,,,
127.07,0.02149,,,
127.25,0.02155,,,
127.58,0.0216,,,
127.93,0.02166,,,
128.33,0.02171,,,
128.6,0.02177,,,
129.07,0.02182,,,
129.67,0.02188,,,
130.05,0.02193,,,
130.34,0.02199,,,
130.75,0.02204,,,
131.14,0.0221,,,
131.39,0.02215,,,
131.92,0.02221,,,
132.17,0.02227,,,
132.46,0.02233,,,
132.79,0.02238,,,
133.12,0.02244,,,
133.64,0.0225,,,
134.22,0.02256,,,
134.56,0.02262,,,
135.06,0.02267,,,
135.43,0.02273,,,
135.89,0.02278,,,
136.19,0.02284,,,
136.59,0.0229,,,
136.94,0.02295,,,
137.24,0.02301,,,
137.48,0.02306,,,
137.98,0.02311,,,
138.33,0.02317,,,
138.7,0.02322,,,
139.11,0.02328,,,
139.51,0.02333,,,
139.9,0.02339,,,
140.26,0.02344,,,
140.83,0.02349,,,
141.2,0.02355,,,
141.56,0.0236,,,
141.82,0.02365,,,
142.27,0.0237,,,
142.7,0.02375,,,
142.98,0.0238,,,
143.32,0.02386,,,
143.72,0.02391,,,
144.25,0.02396,,,
144.6,0.02401,,,
144.88,0.02407,,,
145.34,0.02412,,,
145.62,0.02417,,,
145.89,0.02422,,,
146.3,0.02428,,,
146.59,0.02433,,,
146.82,0.02438,,,
147.34,0.02443,,,
147.62,0.02449,,,
147.84,0.02454,,,
148.19,0.02459,,,
